11.95	1555663560
99.99	1554676200
600	1555079880
11.99	1555079880
11.99	1556616420
11.95	1556542980
99.99	1554191160
11.95	1555066680
1700	1556102280
11.99	1554732300
600	1555607880
14.95	1555330680
389.99	1555442580
3.84	1555945740
14.95	1555684140
150	1554409800
11.95	1556390460
600	1554320520
11.95	1554320520
2.99	1556325000
150	1556451720
150	1554405900
150	1554852900
3.84	1554978180
11.95	1554424500
700	1554845880
99.99	1556367600
2.99	1555761600
300	1556138340
99.99	1554636660
99.99	1554636660
2.99	1554915600
600	1554915600
149.99	1556566680
109.99	1554177600
14.95	1554380580
600	1554983160
150	1555831260
11.95	1556370240
14.95	1555335900
11.99	1555542240
11.99	1554196260
150	1556395860
11.95	1555681140
2.99	1555878780
14.95	1554996300
389.99	1556639640
11.95	1554244320
14.95	1556617140
11.95	1554104760
11.95	1554202620
11.95	1555345740
600.0	1555856160
2.99	1555589460
700	1554984060
150	1555001940
2.99	1556239200
99.99	1556630160
150	1554407280
11.95	1556305080
3.84	1554670860
14.95	1556620500
11.95	1554496800
150	1556179380
14.95	1555623840
300	1555439820
11.95	1555497540
14.95	1554998940
3.84	1555013760
149.99	1555804260
3.84	1556448240
2.99	1556132400
99.99	1554154800
11.99	1555858620
14.95	1555300980
11.95	1556106960
600	1554872460
11.95	1555181280
2.99	1555252080
999.99	1556028180
14.95	1554883200
400	1556272500
3.84	1556656620
2.99	1555495380
11.95	1555749180
1700	1556468040
11.99	1556405640
14.95	1556228160
3.84	1555526280
1700	1556400720
11.95	1555985340
2.99	1556303880
1700	1555917240
600	1555875600
149.99	1556068620
11.95	1554799740
14.95	1555087620
700	1554642840
600.0	1554840240
3.84	1556306400
11.95	1555356900
150	1555011360
600	1555087320
999.99	1556014560
2.99	1555923060
109.99	1556548800
3.84	1555434600
11.99	1556224800
379.99	1554468360
99.99	1554464880
2.99	1555181940
999.99	1554646500
11.99	1554742200
389.99	1554943140
3.84	1555361160
149.99	1554728220
150	1556227380
2.99	1556037060
14.95	1555067220
11.95	1555067220
109.99	1554884220
2.99	1555793580
2.99	1554195720
600.0	1554770100
379.99	1554119400
3.84	1555711920
150	1555413120
11.95	1555154880
150	1555756740
999.99	1555756740
14.95	1556345940
3.84	1554299640
11.95	1555462260
379.99	1556059980
11.99	1555514220
1700	1556619960
300	1555784700
99.99	1556126100
2.99	1556126100
109.99	1554402780
2.99	1555070220
11.99	1554747660
3.84	1555923600
11.95	1554497160
3.84	1555102200
700	1554640860
11.99	1555799880
99.99	1554221700
99.99	1556474640
379.99	1554678600
11.95	1554987900
3.84	1556048640
109.99	1555495200
3.84	1555495200
14.95	1554543480
14.95	1555162320
150	1555151640
11.99	1556492580
3.84	1556115420
109.99	1554631200
300	1556621880
600	1555737660
11.99	1555843680
11.95	1556321640
150	1556383380
11.99	1556116980
150	1555670040
14.95	1555960440
300	1556370420
14.95	1555842900
2.99	1556312880
389.99	1554116220
389.99	1555709460
14.95	1556312340
3.84	1555338780
11.95	1555179240
14.95	1555251960
14.95	1555832280
11.95	1556099820
99.99	1555489620
2.99	1555863420
700	1556011980
109.99	1554989460
150	1554329580
149.99	1555458720
3.84	1555501680
150	1554600480
3.84	1554297420
379.99	1554485880
600	1554485880
99.99	1556118600
11.95	1556563740
11.99	1555494840
389.99	1554110220
14.95	1555271940
11.99	1556097780
389.99	1554750240
1700	1556377440
300	1556119680
999.99	1556265300
3.84	1555199520
2.99	1555592460
3.84	1555199940
11.95	1554160020
379.99	1554224820
389.99	1554826860
149.99	1554483960
3.84	1555014480
379.99	1555622760
14.95	1554554760
11.99	1554237120
150	1556308800
3.84	1555596360
11.95	1556199360
11.99	1555444320
11.95	1555274640
3.84	1555876320
389.99	1554819480
11.99	1554336180
3.84	1556547240
11.99	1554745080
14.95	1556127600
3.84	1554932880
2.99	1556222820
14.95	1556204760
11.95	1556204760
11.95	1554152160
99.99	1556148480
150	1555260780
379.99	1555091160
